Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb pc7~16;;Heat Burst;r30;;;Dragunov-2+3;dragunov
H.2+3;m,m,m;25,14,23;"i15~16,
         i30~32,i31~32";+6;+3d;;"* Heat Smash
* Balcony Break
* Only 1st and 3rd hit
* 7 Chip damage on block
* Throw on 1st hit - 50 damage";hs bbr;;Ultra Russian Sickle;;;;Dragunov-H.2+3;dragunov
H.2+3,db+1+2;m,m,m, t;25,14,23, 0;"i15~16,
         i30~32,i31~32, i26";;-2d;;"* Unbreakable on hit
* Shift to tackle on hit
* Interrupt with i15 on 1st block";;;Ultra Russian Sickle > Ambush Tackle;r33;;;Dragunov-H.2+3,db+1+2;dragunov
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;White Angel of Death;r39;;;Dragunov-R.df+1+2;dragunov
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;r19;;File:t8-p2-dragunov-1,1,3.mp4;Dragunov-1;dragunov
1,1;h, h;5, 8;i10, i20;-4;+7;;Combo from 1st hit;;;;r23;;File:t8-p2-dragunov-1,1,3.mp4;Dragunov-1,1;dragunov
1,1,3;h, h, m;5, 8, 22;i10, ,i25~26;-9;+15a (+6);+36a (+0);"* Balcony Break
* Combo from 2nd CH with 5f delay
* Input can be 10f delayed";bbr;;Eye Gouge > Hilt;r29;;File:t8-p2-dragunov-1,1,3.mp4;Dragunov-1,1,3;dragunov
1,2;h, m;5, 8;i10, i18;-9;+2;;"* Jail from 1st attack
* Combo from 1st hit";;;;r28;;File:t8-p2-dragunov-1,2,1.mp4;Dragunov-1,2;dragunov
1,2,1;h, m, m;5, 8, 20;i10, ,i19~20;-14;+15g;;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Combo from 1st or 2nd CH
* Opponent recovers Crouching";he bbr;;Salvo;r34;;File:t8-p2-dragunov-1,2,1.mp4;Dragunov-1,2,1;dragunov
1,3;h, h;5, 14;i10, i16~17;-7;+1;+9;"* Jail from 1st attack
* Combo from 1st hit";;;;r25;;File:t8-p2-dragunov-1,3,2.mp4;Dragunov-1,3;dragunov
