Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Wavu id;Name;Recovery;Image;Video
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
Power crush 7~16";hb pc7~16;;Clive-2+3;Heat Burst;r30;;
H.PHX.2+3;m;42;i15~16;+8;+0;;"* Floor Break
* Increases ZAN gauge by 1.16 on hit
* Increases ZAN gauge by 0.66 on block
* Transition to throw on hit
* Opponent recovers in FDFA state
* Only deals recoverable damage
* 9 Chip Damage on block";fbr;;Clive-H.PHX.2+3;Dancing Steel;r34;;
H.u+1+2;m,m;18,21;i19~20,i20~21;-12;+3c;;"* Consumes heat
* Enter PHX -1 +14 with F or 4 on hit or block
* 13 Chip damage on block";;PHX;Clive-H.u+1+2;;r36?;;
H.u+1+2,1;m,m, m,m;18,21, 17,22;i19~20,i20~21, i25~26,i20~21;-8;+14a(+4a);;"* Balcony Break
* 14 Chip Damage on block
* Same move as (df+1,H.1),1?";bbr;;Clive-H.u+1+2,1;Blazing Rush;r41?;;
H.u+1+2,2;m,m, h,h;18,21, 10,12;i19~20,i20~21, i23~24,i12~13;-9;+8;;"* 7 Chip Damage on block
* Same move as (df+1,H.1),2?";;;Clive-H.u+1+2,2;;;;
H.u+1+2,2,1;m,m, h,h, m,m;18,21, 10,12, 10,16;i19~20,i20~21, ,i20~21,i11~12;-8;+15a(-2a);;"* Tornado
* Balcony Break
* Combo from 3rd hit
* 9 Chip Damage on block
* Same move as (df+1,H.1,2),1?";trn bbr;;Clive-H.u+1+2,2,1;Blazing Eruption;;;
H.2+3;m,t,m,m,m,m,m,m;55;i18;+8;-10;;"* Heat Smash
* Balcony Break
* Transition to attack throw on 1st hit
* 45 damage Balcony Break on 1st whiff
* Recover 27-45 recoverable health on hit:
* Regain 18?-19? additional recoverable health on hit
* Recover 19 recoverable health on 1st whiff and 2nd hit:
* Regain 12? addditional recoverable health on 1st whiff and 2nd hit
* 19 Chip Damage on block
&lt;div class=&quot;plainlist&quot;&gt;
* Low crush 23~117
* fs118~120&lt;/div&gt;";"hs bbr &lt;div class=&quot;plainlist&quot;&gt;
* js23~117
* fs118~120&lt;/div&gt;";;Clive-H.2+3;Infernal Flames of Rebirth;r48;;
R.df+1+2;m,t;55+;i20;-15;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
Power crush 8~";pc8~;;Clive-R.df+1+2;Hellfire;r39;;
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Clive-1;Jab;r19;;
1,1;h, h;5, 13;i10, i18~19;-3;+6;;"* Jail from 1st attack
* Combo from 1st hit
* Enter PHX -3 +6 r23 with F or 4 on hit or block";;PHX;Clive-1,1;Double Blow;r23;;File:t8-p2-clive-1,1.mp4
