Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;Tags;Transitions;Name;Recovery;Recovery state;Image;Video;Wavu id;Character id
2+3;m;"[12;12]";i16;+1;+2c;;"* Heat Burst
* Cancel to r45 with b,b on frame 42
* 2 chip damage on block
* 12 chip damage on hit
* Only deals recoverable damage
* Cannot cause a K.O.
* Power crush 7~16";hb chp:2 pc7~16;;Heat Burst;30;;;;Claudio-2+3;claudio
H.2+3;L,M;40;i18~19;-14;+11d;;"* Heat Smash
* Reversal Break
* Balcony Break
* Transition to attack throw on hit
* Chip damage on block
* Pseudo homing low?";hs rbr bbr chp;;Stella Cadente;44;;;;Claudio-H.2+3;claudio
R.df+1+2;m,t;55+;i20;-18;+0d;;"* Rage Art
* Removes Recoverable Health
* Reversal Break
* Damage increases with lower health, maximum 82
* Freezes match timer on activation and on hit
* Restores recoverable health on hit
* Transition to attack throw on hit
* Consumes Rage
* Power crush 8~";ra rbr pc8~;;La Luce Di Sirio;39;;;;Claudio-R.df+1+2;claudio
1;h;5;i10;+1;+8;;Recovers 2f faster on hit or block (t27 r17);;;Jab;19;;;File:t8-p2-claudio-1,2.mp4;Claudio-1;claudio
1,2;h, h;5, 12;i10, i13~14;-3;+8;;"* Jail from 1st attack with 5f delay
* Input can be delayed 5f
* Move can be delayed 4f";;;Scattered Ashes;20;;;File:t8-p2-claudio-1,2.mp4;Claudio-1,2;claudio
1,3;h, l;5, 11;i10, i22;-12;-1;;"* Combo from 1st CH with 3f delay
* Interrupt with i4 from 1st block
* Input can be delayed 5f
* Move can be delayed 4f";intr:4;;Absolve;31;;;File:t8-p2-claudio-1,3.mp4;Claudio-1,3;claudio
2;h;10;i12;-3;+3;;;;;Right Jab;22;;;File:t8-p2-claudio-2,1,2.mp4;Claudio-2;claudio
2,1;h, m;10, 13;i12, i20;-6;+5;;"* Combo from 1st hit with 2f delay
* Interrupt with i2 from 1st block";intr:2;;;25;;;File:t8-p2-claudio-2,1,2.mp4;Claudio-2,1;claudio
2,1,2;h, m, m;10, 13, 25;i12, ,i16~18;-13;+12a (+3);;"* Heat Engager

* Heat Dash +5, +62a (+42)

* Strong Aerial Tailspin
* Balcony Break
* Combo from 2nd CH with 14f delay
* Interrupt with i1 from 1st block
* Input can be delayed 15f
* Move can be delayed 10f
* Transition to r65 STB on hit without STB
* -10a (-1) upon STB gain on an airborne hit";he bbr intr:1;STB;Circle of Judgment;36;;;File:t8-p2-claudio-2,1,2.mp4;Claudio-2,1,2;claudio
3;m;14;i14;-10;+1;;* Tracks sidestep right and sidewalk right completely?;;;;28;;;File:t8-p2-claudio-3,2.mp4;Claudio-3;claudio
3,2;m, h;14, 22;i14, i22~23;-6;+25a (+16);;"* Heat Engager

* Heat Dash +5, +43d (+35)

* Balcony Break
* Transition to r55 STB on hit without STB
* -6a (-13) upon STB gain on an airborne hit
* Interrupt with i5 from 1st block";he bbr intr:5;STB;Requiescat;24;;;File:t8-p2-claudio-3,2.mp4;Claudio-3,2;claudio
4;h;13;i12;-11;+5;+9s;* Pseudo homing to sidestep left and sidewalk left?;;;High Kick;30;;;File:t8-p2-claudio-4,3.mp4;Claudio-4;claudio
4,3;h, h;13, 14;i12, i25~26;+1;+15g;;"* Homing
* Balcony Break
* Combo from 1st hit with 1f delay
* +22a (+15) if the 1st hit counterhits
* Interrupt with i6 from 1st block
* Low crush 17~30";hom bbr intr:6 js17~30;;Battle Scars;27;;;File:t8-p2-claudio-4,3.mp4;Claudio-4,3;claudio
